#wavelength,transmission
8.862550300000000547e-01,1.875969000000000041e-11
8.863271700000000530e-01,2.011701200000000128e-11
8.863993100000000513e-01,2.157028800000000103e-11
8.864714599999999889e-01,2.312610999999999868e-11
8.865435999999999872e-01,2.479153399999999936e-11
8.866157399999999855e-01,2.657408599999999841e-11
8.866878900000000341e-01,2.848180999999999938e-11
8.867600300000000324e-01,3.052331999999999883e-11
8.868321700000000307e-01,3.270774900000000210e-11
8.869043199999999683e-01,3.504475099999999865e-11
8.869764599999999666e-01,3.754480799999999707e-11
8.870486100000000151e-01,4.021897400000000012e-11
8.871207500000000135e-01,4.307913199999999795e-11
8.871928900000000118e-01,4.613784200000000320e-11
8.872650399999999493e-01,4.940849200000000240e-11
8.873371799999999476e-01,5.290545800000000311e-11
8.874093199999999459e-01,5.664399699999999803e-11
8.874814699999999945e-01,6.064029899999999499e-11
8.875536099999999928e-01,6.491180299999999904e-11
8.876257499999999911e-01,6.947682600000000509e-11
8.876979000000000397e-01,7.435508999999999836e-11
8.877700400000000380e-01,7.956755899999999607e-11
8.878421800000000363e-01,8.513649700000000330e-11
8.879143299999999739e-01,9.108561999999999735e-11
8.879864699999999722e-01,9.744020200000000191e-11
8.880586200000000208e-01,1.042272300000000020e-10
8.881307600000000191e-01,1.114752400000000043e-10
8.882029000000000174e-01,1.192147999999999997e-10
8.882750499999999549e-01,1.274783000000000095e-10
8.883471899999999533e-01,1.363003000000000024e-10
8.884193299999999516e-01,1.457175299999999978e-10
8.884914800000000001e-01,1.557690800000000074e-10
8.885636199999999985e-01,1.664964700000000110e-10
8.886357599999999968e-01,1.779439500000000005e-10
8.887079100000000453e-01,1.901586000000000117e-10
8.887800500000000437e-01,2.031903999999999966e-10
8.888521900000000420e-01,2.170924299999999908e-10
8.889243399999999795e-01,2.319213599999999956e-10
8.889964799999999778e-01,2.477371800000000157e-10
8.890686199999999761e-01,2.646038399999999898e-10
8.891407700000000247e-01,2.825892000000000068e-10
8.892129100000000230e-01,3.017653499999999996e-10
8.892850599999999606e-01,3.222089900000000160e-10
8.893571999999999589e-01,3.440015900000000014e-10
8.894293399999999572e-01,3.672296299999999881e-10
8.895014900000000058e-01,3.919849400000000081e-10
8.895736300000000041e-01,4.183651900000000009e-10
8.896457700000000024e-01,4.464740799999999873e-10
8.897179200000000510e-01,4.764215200000000450e-10
8.897900600000000493e-01,5.083244799999999581e-10
8.898622000000000476e-01,5.423068800000000206e-10
8.899343499999999851e-01,5.785004400000000141e-10
8.900064899999999835e-01,6.170449600000000418e-10
8.900786299999999818e-01,6.580886500000000341e-10
8.901507800000000303e-01,7.017888700000000463e-10
8.902229200000000287e-01,7.483125999999999746e-10
8.902950699999999662e-01,7.978370300000000122e-10
8.903672099999999645e-01,8.505498999999999933e-10
8.904393499999999628e-01,9.066505000000000219e-10
8.905115000000000114e-01,9.663502499999999532e-10
8.905836400000000097e-01,1.029873100000000038e-09
8.906557800000000080e-01,1.097456700000000037e-09
8.907279299999999456e-01,1.169352899999999993e-09
8.908000700000000549e-01,1.245828700000000028e-09
8.908722100000000532e-01,1.327167200000000016e-09
8.909443599999999908e-01,1.413668099999999952e-09
8.910164999999999891e-01,1.505649200000000021e-09
8.910886399999999874e-01,1.603447300000000049e-09
8.911607900000000360e-01,1.707419100000000006e-09
8.912329300000000343e-01,1.817942399999999969e-09
8.913050799999999718e-01,1.935417499999999950e-09
8.913772199999999701e-01,2.060268299999999831e-09
8.914493599999999685e-01,2.192943499999999956e-09
8.915215100000000170e-01,2.333918400000000050e-09
8.915936500000000153e-01,2.483696200000000045e-09
8.916657900000000136e-01,2.642809400000000115e-09
8.917379399999999512e-01,2.811821800000000072e-09
8.918100799999999495e-01,2.991329999999999844e-09
8.918822199999999478e-01,3.181965300000000078e-09
8.919543699999999964e-01,3.384395699999999888e-09
8.920265099999999947e-01,3.599328000000000002e-09
8.920986499999999930e-01,3.827509699999999646e-09
8.921708000000000416e-01,4.069731699999999887e-09
8.922429400000000399e-01,4.326830300000000135e-09
8.923150899999999774e-01,4.599689800000000210e-09
8.923872299999999758e-01,4.889245499999999647e-09
8.924593699999999741e-01,5.196485800000000018e-09
8.925315200000000226e-01,5.522456100000000385e-09
8.926036600000000210e-01,5.868260899999999625e-09
8.926758000000000193e-01,6.235067800000000185e-09
8.927479499999999568e-01,6.624110599999999974e-09
8.928200899999999551e-01,7.036692900000000124e-09
8.928922299999999534e-01,7.474192199999999683e-09
8.929643800000000020e-01,7.938063400000000036e-09
8.930365200000000003e-01,8.429843399999999759e-09
8.931086599999999986e-01,8.951155600000000183e-09
8.931808100000000472e-01,9.503713699999999993e-09
8.932529500000000455e-01,1.008932800000000054e-08
8.933250999999999831e-01,1.070991000000000071e-08
8.933972399999999814e-01,1.136747499999999936e-08
8.934693799999999797e-01,1.206415499999999948e-08
8.935415300000000283e-01,1.280219600000000069e-08
8.936136700000000266e-01,1.358396999999999978e-08
8.936858100000000249e-01,1.441197900000000020e-08
8.937579599999999624e-01,1.528886399999999846e-08
8.938300999999999608e-01,1.621741000000000056e-08
8.939022399999999591e-01,1.720055600000000038e-08
8.939743900000000076e-01,1.824139899999999916e-08
8.940465300000000060e-01,1.934320900000000034e-08
8.941186700000000043e-01,2.050942999999999997e-08
8.941908200000000528e-01,2.174369699999999872e-08
8.942629600000000512e-01,2.304983799999999925e-08
8.943351099999999887e-01,2.443189199999999866e-08
8.944072499999999870e-01,2.589411199999999943e-08
8.944793899999999853e-01,2.744098399999999888e-08
8.945515400000000339e-01,2.907723300000000106e-08
8.946236800000000322e-01,3.080783600000000098e-08
8.946958200000000305e-01,3.263803900000000002e-08
8.947679699999999681e-01,3.457336599999999883e-08
8.948401099999999664e-01,3.661963499999999914e-08
8.949122499999999647e-01,3.878297499999999924e-08
8.949844000000000133e-01,4.106983599999999718e-08
8.950565400000000116e-01,4.348701400000000205e-08
8.951286800000000099e-01,4.604166000000000042e-08
8.952008299999999474e-01,4.874130200000000312e-08
8.952729699999999458e-01,5.159386299999999799e-08
8.953451199999999943e-01,5.460768300000000320e-08
8.954172599999999926e-01,5.779153600000000325e-08
8.954893999999999910e-01,6.115465399999999626e-08
8.955615500000000395e-01,6.470674900000000105e-08
8.956336900000000378e-01,6.845803700000000514e-08
8.957058300000000362e-01,7.241926299999999599e-08
8.957779799999999737e-01,7.660172899999999630e-08
8.958501199999999720e-01,8.101731599999999829e-08
8.959222599999999703e-01,8.567851799999999437e-08
8.959944100000000189e-01,9.059846899999999567e-08
8.960665500000000172e-01,9.579097600000000618e-08
8.961386900000000155e-01,1.012705500000000028e-07
8.962108399999999531e-01,1.070524400000000059e-07
8.962829799999999514e-01,1.131526700000000015e-07
8.963551299999999999e-01,1.195880799999999976e-07
8.964272699999999983e-01,1.263763499999999920e-07
8.964994099999999966e-01,1.335360800000000110e-07
8.965715600000000451e-01,1.410867600000000009e-07
8.966437000000000435e-01,1.490489000000000079e-07
8.967158400000000418e-01,1.574440100000000001e-07
8.967879899999999793e-01,1.662946900000000082e-07
8.968601299999999776e-01,1.756246700000000066e-07
8.969322699999999760e-01,1.854588399999999952e-07
8.970044200000000245e-01,1.958233299999999986e-07
8.970765600000000228e-01,2.067455699999999925e-07
8.971487000000000211e-01,2.182543499999999892e-07
8.972208499999999587e-01,2.303798599999999973e-07
8.972929899999999570e-01,2.431537700000000207e-07
8.973651299999999553e-01,2.566093199999999879e-07
8.974372800000000039e-01,2.707813600000000035e-07
8.975094200000000022e-01,2.857064399999999856e-07
8.975815700000000508e-01,3.014228799999999736e-07
8.976537100000000491e-01,3.179708700000000137e-07
8.977258500000000474e-01,3.353925399999999900e-07
8.977979999999999849e-01,3.537320500000000033e-07
8.978701399999999833e-01,3.730356800000000098e-07
8.979422799999999816e-01,3.933519400000000081e-07
8.980144300000000301e-01,4.147316399999999755e-07
8.980865700000000285e-01,4.372280500000000252e-07
8.981587100000000268e-01,4.608969500000000050e-07
8.982308599999999643e-01,4.857967800000000414e-07
8.983029999999999626e-01,5.119887399999999498e-07
8.983751399999999609e-01,5.395369300000000066e-07
8.984472900000000095e-01,5.685084699999999556e-07
8.985194300000000078e-01,5.989736299999999554e-07
8.985915799999999454e-01,6.310059700000000293e-07
8.986637200000000547e-01,6.646825100000000459e-07
8.987358600000000530e-01,7.000838299999999763e-07
8.988080099999999906e-01,7.372942800000000208e-07
8.988801499999999889e-01,7.764021199999999518e-07
8.989522899999999872e-01,8.174996900000000482e-07
8.990244400000000358e-01,8.606835800000000178e-07
8.990965800000000341e-01,9.060548500000000077e-07
8.991687200000000324e-01,9.537191599999999105e-07
8.992408699999999699e-01,1.003787000000000093e-06
8.993130099999999683e-01,1.056374100000000025e-06
8.993851499999999666e-01,1.111600999999999896e-06
8.994573000000000151e-01,1.169594199999999916e-06
8.995294400000000135e-01,1.230485699999999915e-06
8.996015899999999510e-01,1.294413500000000105e-06
8.996737299999999493e-01,1.361521800000000102e-06
8.997458699999999476e-01,1.431961099999999933e-06
8.998180199999999962e-01,1.505889099999999905e-06
8.998901599999999945e-01,1.583469999999999977e-06
8.999622999999999928e-01,1.664875800000000027e-06
9.000344500000000414e-01,1.750285700000000004e-06
9.001065900000000397e-01,1.839887099999999955e-06
9.001787300000000380e-01,1.933875700000000181e-06
9.002508799999999756e-01,2.032455599999999897e-06
9.003230199999999739e-01,2.135840100000000144e-06
9.003951599999999722e-01,2.244251600000000029e-06
9.004673100000000208e-01,2.357922500000000208e-06
9.005394500000000191e-01,2.477095099999999979e-06
9.006115999999999566e-01,2.602022299999999822e-06
9.006837399999999549e-01,2.732967800000000007e-06
9.007558799999999533e-01,2.870207000000000047e-06
9.008280300000000018e-01,3.014026800000000089e-06
9.009001700000000001e-01,3.164726599999999886e-06
9.009723099999999985e-01,3.322618699999999820e-06
9.010444600000000470e-01,3.488028399999999999e-06
9.011166000000000453e-01,3.661295199999999948e-06
9.011887400000000437e-01,3.842772900000000241e-06
9.012608899999999812e-01,4.032830000000000147e-06
9.013330299999999795e-01,4.231850900000000279e-06
9.014051699999999778e-01,4.440235899999999640e-06
9.014773200000000264e-01,4.658402199999999666e-06
9.015494600000000247e-01,4.886784600000000416e-06
9.016216099999999622e-01,5.125835499999999723e-06
9.016937499999999606e-01,5.376026699999999727e-06
9.017658899999999589e-01,5.637849200000000218e-06
9.018380400000000074e-01,5.911814199999999720e-06
9.019101800000000058e-01,6.198454299999999849e-06
9.019823200000000041e-01,6.498323500000000227e-06
9.020544700000000526e-01,6.811998800000000052e-06
9.021266100000000510e-01,7.140080700000000338e-06
9.021987500000000493e-01,7.483194000000000033e-06
9.022708999999999868e-01,7.841988900000000442e-06
9.023430399999999851e-01,8.217141799999999653e-06
9.024151799999999835e-01,8.609356400000000342e-06
9.024873300000000320e-01,9.019364699999999843e-06
9.025594700000000303e-01,9.447927999999999711e-06
9.026316199999999679e-01,9.895837800000000089e-06
9.027037599999999662e-01,1.036391700000000067e-05
9.027758999999999645e-01,1.085302199999999944e-05
9.028480500000000131e-01,1.136404299999999924e-05
9.029201900000000114e-01,1.189790200000000052e-05
9.029923300000000097e-01,1.245556300000000027e-05
9.030644799999999472e-01,1.303802300000000078e-05
9.031366199999999456e-01,1.364631999999999982e-05
9.032087600000000549e-01,1.428153100000000020e-05
9.032809099999999924e-01,1.494477799999999944e-05
9.033530499999999908e-01,1.563722100000000076e-05
9.034251899999999891e-01,1.636007000000000073e-05
9.034973400000000376e-01,1.711457800000000025e-05
9.035694800000000360e-01,1.790204800000000035e-05
9.036416299999999735e-01,1.872383000000000061e-05
9.037137699999999718e-01,1.958133000000000044e-05
9.037859099999999701e-01,2.047600200000000061e-05
9.038580600000000187e-01,2.140935800000000048e-05
9.039302000000000170e-01,2.238296599999999931e-05
9.040023400000000153e-01,2.339845300000000113e-05
9.040744899999999529e-01,2.445750700000000002e-05
9.041466299999999512e-01,2.556187899999999921e-05
9.042187699999999495e-01,2.671338300000000092e-05
9.042909199999999981e-01,2.791390400000000148e-05
9.043630599999999964e-01,2.916539199999999840e-05
9.044351999999999947e-01,3.046987200000000120e-05
9.045073500000000433e-01,3.182944300000000153e-05
9.045794900000000416e-01,3.324627699999999753e-05
9.046516399999999791e-01,3.472262899999999786e-05
9.047237799999999774e-01,3.626083400000000323e-05
9.047959199999999758e-01,3.786331099999999721e-05
9.048680700000000243e-01,3.953256800000000073e-05
9.049402100000000226e-01,4.127119900000000282e-05
9.050123500000000210e-01,4.308189400000000192e-05
9.050844999999999585e-01,4.496743800000000313e-05
9.051566399999999568e-01,4.693071299999999663e-05
9.052287799999999551e-01,4.897470600000000028e-05
9.053009300000000037e-01,5.110250599999999709e-05
9.053730700000000020e-01,5.331731199999999805e-05
9.054452100000000003e-01,5.562243500000000034e-05
9.055173600000000489e-01,5.802129899999999683e-05
9.055895000000000472e-01,6.051745000000000111e-05
9.056616499999999848e-01,6.311455300000000531e-05
9.057337899999999831e-01,6.581640200000000106e-05
9.058059299999999814e-01,6.862691999999999989e-05
9.058780800000000299e-01,7.155016399999999965e-05
9.059502200000000283e-01,7.459032900000000241e-05
9.060223600000000266e-01,7.775175199999999852e-05
9.060945099999999641e-01,8.103891700000000079e-05
9.061666499999999624e-01,8.445645800000000541e-05
9.062387899999999608e-01,8.800916499999999511e-05
9.063109400000000093e-01,9.170198900000000046e-05
9.063830800000000076e-01,9.554004200000000503e-05
9.064552200000000060e-01,9.952860900000000584e-05
9.065273700000000545e-01,1.036731500000000054e-04
9.065995100000000528e-01,1.079792899999999973e-04
9.066716500000000512e-01,1.124528700000000067e-04
9.067437999999999887e-01,1.170998900000000062e-04
9.068159399999999870e-01,1.219265599999999963e-04
9.068880900000000356e-01,1.269392800000000048e-04
9.069602300000000339e-01,1.321446700000000068e-04
9.070323700000000322e-01,1.375495499999999916e-04
9.071045199999999697e-01,1.431609700000000050e-04
9.071766599999999681e-01,1.489861900000000129e-04
9.072487999999999664e-01,1.550327200000000121e-04
9.073209500000000149e-01,1.613082800000000005e-04
9.073930900000000133e-01,1.678208499999999943e-04
9.074652300000000116e-01,1.745786700000000007e-04
9.075373799999999491e-01,1.815901999999999881e-04
9.076095199999999474e-01,1.888642000000000001e-04
9.076816599999999458e-01,1.964096800000000029e-04
9.077538099999999943e-01,2.042359399999999967e-04
9.078259499999999926e-01,2.123525499999999867e-04
9.078981000000000412e-01,2.207693700000000123e-04
9.079702400000000395e-01,2.294965899999999866e-04
9.080423800000000378e-01,2.385446699999999910e-04
9.081145299999999754e-01,2.479243999999999806e-04
9.081866699999999737e-01,2.576468999999999743e-04
9.082588099999999720e-01,2.677236099999999864e-04
9.083309600000000206e-01,2.781663200000000151e-04
9.084031000000000189e-01,2.889871499999999865e-04
9.084752400000000172e-01,3.001985999999999891e-04
9.085473899999999547e-01,3.118135299999999738e-04
9.086195299999999531e-01,3.238451500000000109e-04
9.086916699999999514e-01,3.363070799999999961e-04
9.087638199999999999e-01,3.492133300000000015e-04
9.088359599999999983e-01,3.625783100000000187e-04
9.089081100000000468e-01,3.764168300000000130e-04
9.089802500000000451e-01,3.907441399999999807e-04
9.090523900000000435e-01,4.055759099999999744e-04
9.091245399999999810e-01,4.209282400000000091e-04
9.091966799999999793e-01,4.368177199999999849e-04
9.092688199999999776e-01,4.532613699999999812e-04
9.093409700000000262e-01,4.702766799999999882e-04
9.094131100000000245e-01,4.878816500000000183e-04
9.094852500000000228e-01,5.060947500000000489e-04
9.095573999999999604e-01,5.249349700000000398e-04
9.096295399999999587e-01,5.444218100000000268e-04
9.097016799999999570e-01,5.645753099999999483e-04
9.097738300000000056e-01,5.854160199999999814e-04
9.098459700000000039e-01,6.069650800000000058e-04
9.099181200000000524e-01,6.292441700000000202e-04
9.099902600000000508e-01,6.522755400000000226e-04
9.100624000000000491e-01,6.760820499999999587e-04
9.101345499999999866e-01,7.006871399999999505e-04
9.102066899999999849e-01,7.261148799999999877e-04
9.102788299999999833e-01,7.523899400000000478e-04
9.103509800000000318e-01,7.795376600000000333e-04
9.104231200000000301e-01,8.075839900000000111e-04
9.104952600000000285e-01,8.365555900000000303e-04
9.105674099999999660e-01,8.664797500000000078e-04
9.106395499999999643e-01,8.973845000000000476e-04
9.107116899999999626e-01,9.292985300000000020e-04
9.107838400000000112e-01,9.622512599999999503e-04
9.108559800000000095e-01,9.962728700000000794e-04
9.109281299999999471e-01,1.031394199999999999e-03
9.110002699999999454e-01,1.067646999999999910e-03
9.110724100000000547e-01,1.105063699999999901e-03
9.111445599999999923e-01,1.143677399999999981e-03
9.112166999999999906e-01,1.183522300000000105e-03
9.112888399999999889e-01,1.224633099999999962e-03
9.113609900000000374e-01,1.267045500000000017e-03
9.114331300000000358e-01,1.310795999999999923e-03
9.115052700000000341e-01,1.355922100000000107e-03
9.115774199999999716e-01,1.402461899999999902e-03
9.116495599999999699e-01,1.450454600000000097e-03
9.117216999999999683e-01,1.499940200000000022e-03
9.117938500000000168e-01,1.550959800000000031e-03
9.118659900000000151e-01,1.603555200000000066e-03
9.119381399999999527e-01,1.657769300000000012e-03
9.120102799999999510e-01,1.713645800000000025e-03
9.120824199999999493e-01,1.771229700000000054e-03
9.121545699999999979e-01,1.830566600000000039e-03
9.122267099999999962e-01,1.891703499999999958e-03
9.122988499999999945e-01,1.954688100000000033e-03
9.123710000000000431e-01,2.019569299999999807e-03
9.124431400000000414e-01,2.086397099999999852e-03
9.125152800000000397e-01,2.155222400000000177e-03
9.125874299999999772e-01,2.226097499999999969e-03
9.126595699999999756e-01,2.299075499999999987e-03
9.127317099999999739e-01,2.374210700000000101e-03
9.128038600000000224e-01,2.451558500000000120e-03
9.128760000000000208e-01,2.531175799999999931e-03
9.129481499999999583e-01,2.613120100000000060e-03
9.130202899999999566e-01,2.697450499999999845e-03
9.130924299999999549e-01,2.784227099999999830e-03
9.131645800000000035e-01,2.873511400000000170e-03
9.132367200000000018e-01,2.965365800000000027e-03
9.133088600000000001e-01,3.059854400000000009e-03
9.133810100000000487e-01,3.157042100000000129e-03
9.134531500000000470e-01,3.256995400000000079e-03
9.135252900000000453e-01,3.359781999999999959e-03
9.135974399999999829e-01,3.465470699999999814e-03
9.136695799999999812e-01,3.574131999999999830e-03
9.137417199999999795e-01,3.685837300000000070e-03
9.138138700000000281e-01,3.800659699999999874e-03
9.138860100000000264e-01,3.918673400000000258e-03
9.139581599999999639e-01,4.039954299999999783e-03
9.140302999999999622e-01,4.164579199999999919e-03
9.141024399999999606e-01,4.292626800000000180e-03
9.141745900000000091e-01,4.424176800000000423e-03
9.142467300000000074e-01,4.559310599999999783e-03
9.143188700000000058e-01,4.698110900000000006e-03
9.143910200000000543e-01,4.840661999999999916e-03
9.144631600000000526e-01,4.987049399999999612e-03
9.145353000000000510e-01,5.137360199999999738e-03
9.146074499999999885e-01,5.291683200000000219e-03
9.146795899999999868e-01,5.450108199999999584e-03
9.147517299999999851e-01,5.612726999999999647e-03
9.148238800000000337e-01,5.779632699999999630e-03
9.148960200000000320e-01,5.950919800000000100e-03
9.149681600000000303e-01,6.126684599999999634e-03
9.150403099999999679e-01,6.307024700000000289e-03
9.151124499999999662e-01,6.492039399999999932e-03
9.151846000000000148e-01,6.681829400000000377e-03
9.152567400000000131e-01,6.876497199999999713e-03
9.153288800000000114e-01,7.076146699999999977e-03
9.154010299999999489e-01,7.280883400000000283e-03
9.154731699999999472e-01,7.490814400000000289e-03
9.155453099999999456e-01,7.706048400000000201e-03
9.156174599999999941e-01,7.926695600000000300e-03
9.156895999999999924e-01,8.152868000000000615e-03
9.157617399999999908e-01,8.384679000000000784e-03
