#wavelength,transmission
7.846999799999999636e-01,2.510275499999999951e-09
7.847638799999999693e-01,2.652192099999999966e-09
7.848277900000000251e-01,2.801901800000000173e-09
7.848916999999999700e-01,2.959819400000000037e-09
7.849555999999999756e-01,3.126380699999999926e-09
7.850195100000000314e-01,3.302044199999999999e-09
7.850834199999999763e-01,3.487291599999999952e-09
7.851473300000000322e-01,3.682629399999999943e-09
7.852112300000000378e-01,3.888589900000000082e-09
7.852751399999999826e-01,4.105732400000000400e-09
7.853390500000000385e-01,4.334644799999999705e-09
7.854029500000000441e-01,4.575944699999999657e-09
7.854668599999999890e-01,4.830281000000000310e-09
7.855307700000000448e-01,5.098335599999999833e-09
7.855946700000000504e-01,5.380824499999999817e-09
7.856585799999999953e-01,5.678499900000000160e-09
7.857224900000000511e-01,5.992151800000000401e-09
7.857863899999999457e-01,6.322609900000000327e-09
7.858503000000000016e-01,6.670745399999999719e-09
7.859142099999999465e-01,7.037473099999999848e-09
7.859781200000000023e-01,7.423753299999999947e-09
7.860420200000000079e-01,7.830594200000000454e-09
7.861059299999999528e-01,8.259054200000000441e-09
7.861698400000000087e-01,8.710243999999999933e-09
7.862337400000000143e-01,9.185329500000000008e-09
7.862976499999999591e-01,9.685534100000000223e-09
7.863615600000000150e-01,1.021214199999999966e-08
7.864254600000000206e-01,1.076649900000000050e-08
7.864893699999999654e-01,1.135002000000000048e-08
7.865532800000000213e-01,1.196418499999999987e-08
7.866171899999999662e-01,1.261055200000000069e-08
7.866810899999999718e-01,1.329074999999999942e-08
7.867450000000000276e-01,1.400649000000000051e-08
7.868089099999999725e-01,1.475956600000000011e-08
7.868728099999999781e-01,1.555185900000000061e-08
7.869367200000000340e-01,1.638534000000000000e-08
7.870006299999999788e-01,1.726207700000000071e-08
7.870645299999999844e-01,1.818423799999999901e-08
7.871284400000000403e-01,1.915409400000000084e-08
7.871923499999999851e-01,2.017402500000000055e-08
7.872562600000000410e-01,2.124652900000000034e-08
7.873201600000000466e-01,2.237421799999999905e-08
7.873840699999999915e-01,2.355983300000000024e-08
7.874479800000000473e-01,2.480624399999999894e-08
7.875118800000000530e-01,2.611646000000000144e-08
7.875757899999999978e-01,2.749362799999999844e-08
7.876397000000000537e-01,2.894105100000000059e-08
7.877035999999999483e-01,3.046218199999999687e-08
7.877675100000000041e-01,3.206064099999999974e-08
7.878314199999999490e-01,3.374021799999999972e-08
7.878953300000000048e-01,3.550488000000000075e-08
7.879592300000000105e-01,3.735878299999999755e-08
7.880231399999999553e-01,3.930627400000000269e-08
7.880870500000000112e-01,4.135190600000000177e-08
7.881509500000000168e-01,4.350044299999999803e-08
7.882148599999999616e-01,4.575687399999999694e-08
7.882787700000000175e-01,4.812641500000000022e-08
7.883426700000000231e-01,5.061452699999999838e-08
7.884065799999999680e-01,5.322692499999999670e-08
7.884704900000000238e-01,5.596958500000000096e-08
7.885343900000000295e-01,5.884875899999999903e-08
7.885982999999999743e-01,6.187098899999999842e-08
7.886622100000000302e-01,6.504311600000000603e-08
7.887261199999999750e-01,6.837229300000000247e-08
7.887900199999999806e-01,7.186600099999999348e-08
7.888539300000000365e-01,7.553206399999999821e-08
7.889178399999999813e-01,7.937865999999999646e-08
7.889817399999999870e-01,8.341434100000000118e-08
7.890456500000000428e-01,8.764804300000000221e-08
7.891095599999999877e-01,9.208910899999999664e-08
7.891734599999999933e-01,9.674730400000000363e-08
7.892373700000000492e-01,1.016328299999999996e-07
7.893012799999999940e-01,1.067563600000000021e-07
7.893651900000000499e-01,1.121290200000000041e-07
7.894290900000000555e-01,1.177624599999999937e-07
7.894930000000000003e-01,1.236688399999999958e-07
7.895569099999999452e-01,1.298608599999999957e-07
7.896208099999999508e-01,1.363517799999999983e-07
7.896847200000000067e-01,1.431554699999999980e-07
7.897486299999999515e-01,1.502863999999999950e-07
7.898125299999999571e-01,1.577596699999999985e-07
7.898764400000000130e-01,1.655910599999999962e-07
7.899403499999999578e-01,1.737970399999999907e-07
7.900042600000000137e-01,1.823948000000000022e-07
7.900681600000000193e-01,1.914023000000000118e-07
7.901320699999999642e-01,2.008382499999999952e-07
7.901959800000000200e-01,2.107222200000000032e-07
7.902598800000000256e-01,2.210745999999999909e-07
7.903237899999999705e-01,2.319166699999999922e-07
7.903877000000000264e-01,2.432706400000000259e-07
7.904516000000000320e-01,2.551596900000000036e-07
7.905155099999999768e-01,2.676079699999999936e-07
7.905794200000000327e-01,2.806407000000000018e-07
7.906433200000000383e-01,2.942841699999999979e-07
7.907072299999999831e-01,3.085657899999999910e-07
7.907711400000000390e-01,3.235141700000000022e-07
7.908350499999999839e-01,3.391590900000000086e-07
7.908989499999999895e-01,3.555316500000000111e-07
7.909628600000000453e-01,3.726642500000000145e-07
7.910267699999999902e-01,3.905906499999999811e-07
7.910906699999999958e-01,4.093460699999999808e-07
7.911545800000000517e-01,4.289671700000000135e-07
7.912184899999999965e-01,4.494921899999999869e-07
7.912823900000000021e-01,4.709609799999999847e-07
7.913462999999999470e-01,4.934150199999999681e-07
7.914102100000000029e-01,5.168975600000000193e-07
7.914741199999999477e-01,5.414536500000000264e-07
7.915380199999999533e-01,5.671301899999999714e-07
7.916019300000000092e-01,5.939760600000000301e-07
7.916658399999999540e-01,6.220421400000000106e-07
7.917297399999999596e-01,6.513814199999999631e-07
7.917936500000000155e-01,6.820490899999999774e-07
7.918575599999999604e-01,7.141025699999999741e-07
7.919214599999999660e-01,7.476016900000000399e-07
7.919853700000000218e-01,7.826086799999999677e-07
7.920492799999999667e-01,8.191883399999999790e-07
7.921131900000000226e-01,8.574081100000000256e-07
7.921770900000000282e-01,8.973381600000000093e-07
7.922409999999999730e-01,9.390514999999999698e-07
7.923049100000000289e-01,9.826241199999999571e-07
7.923688100000000345e-01,1.028135100000000007e-06
7.924327199999999793e-01,1.075666499999999953e-06
7.924966300000000352e-01,1.125304100000000101e-06
7.925605300000000408e-01,1.177136599999999913e-06
7.926244399999999857e-01,1.231256700000000022e-06
7.926883500000000415e-01,1.287760500000000052e-06
7.927522599999999864e-01,1.346748000000000010e-06
7.928161599999999920e-01,1.408323299999999954e-06
7.928800700000000479e-01,1.472594399999999900e-06
7.929439799999999927e-01,1.539673800000000095e-06
7.930078799999999983e-01,1.609678199999999928e-06
7.930717900000000542e-01,1.682728999999999953e-06
7.931356999999999990e-01,1.758952399999999929e-06
7.931996000000000047e-01,1.838479500000000022e-06
7.932635099999999495e-01,1.921446400000000113e-06
7.933274200000000054e-01,2.007994799999999859e-06
7.933913200000000110e-01,2.098271499999999838e-06
7.934552299999999558e-01,2.192429299999999948e-06
7.935191400000000117e-01,2.290626700000000011e-06
7.935830499999999565e-01,2.393028499999999835e-06
7.936469499999999622e-01,2.499805600000000175e-06
7.937108600000000180e-01,2.611135599999999835e-06
7.937747699999999629e-01,2.727202899999999841e-06
7.938386699999999685e-01,2.848198899999999928e-06
7.939025800000000244e-01,2.974322200000000113e-06
7.939664899999999692e-01,3.105779099999999973e-06
7.940303899999999748e-01,3.242783499999999968e-06
7.940943000000000307e-01,3.385557600000000177e-06
7.941582099999999755e-01,3.534331799999999929e-06
7.942221200000000314e-01,3.689345200000000043e-06
7.942860200000000370e-01,3.850845899999999681e-06
7.943499299999999819e-01,4.019091099999999674e-06
7.944138400000000377e-01,4.194347900000000344e-06
7.944777400000000434e-01,4.376893000000000413e-06
7.945416499999999882e-01,4.567013399999999969e-06
7.946055600000000441e-01,4.765007000000000099e-06
7.946694600000000497e-01,4.971182399999999623e-06
7.947333699999999945e-01,5.185859599999999750e-06
7.947972800000000504e-01,5.409370299999999663e-06
7.948611899999999952e-01,5.642058600000000327e-06
7.949250900000000009e-01,5.884280699999999588e-06
7.949889999999999457e-01,6.136406099999999917e-06
7.950529100000000016e-01,6.398817599999999937e-06
7.951168100000000072e-01,6.671911899999999989e-06
7.951807199999999520e-01,6.956099800000000318e-06
7.952446300000000079e-01,7.251807300000000400e-06
7.953085300000000135e-01,7.559475200000000037e-06
7.953724399999999584e-01,7.879560500000000196e-06
7.954363500000000142e-01,8.212536199999999746e-06
7.955002500000000198e-01,8.558892299999999932e-06
7.955641599999999647e-01,8.919136200000000740e-06
7.956280700000000206e-01,9.293793099999999812e-06
7.956919799999999654e-01,9.683406900000000368e-06
7.957558799999999710e-01,1.008854100000000055e-05
7.958197900000000269e-01,1.050977699999999931e-05
7.958836999999999717e-01,1.094771900000000054e-05
7.959475999999999773e-01,1.140299099999999946e-05
7.960115100000000332e-01,1.187623899999999991e-05
7.960754199999999781e-01,1.236813099999999917e-05
7.961393199999999837e-01,1.287935900000000023e-05
7.962032300000000395e-01,1.341063800000000060e-05
7.962671399999999844e-01,1.396270799999999954e-05
7.963310500000000403e-01,1.453633500000000081e-05
7.963949500000000459e-01,1.513230900000000040e-05
7.964588599999999907e-01,1.575144999999999977e-05
7.965227700000000466e-01,1.639460299999999872e-05
7.965866700000000522e-01,1.706264399999999858e-05
7.966505799999999970e-01,1.775647699999999889e-05
7.967144900000000529e-01,1.847703800000000007e-05
7.967783899999999475e-01,1.922529300000000126e-05
7.968423000000000034e-01,2.000224200000000127e-05
7.969062099999999482e-01,2.080891500000000099e-05
7.969701200000000041e-01,2.164638100000000135e-05
7.970340200000000097e-01,2.251574200000000016e-05
7.970979299999999546e-01,2.341813500000000106e-05
7.971618400000000104e-01,2.435473799999999972e-05
7.972257400000000160e-01,2.532676599999999982e-05
7.972896499999999609e-01,2.633547300000000168e-05
7.973535600000000167e-01,2.738215500000000042e-05
7.974174600000000224e-01,2.846814999999999949e-05
7.974813699999999672e-01,2.959484099999999877e-05
7.975452800000000231e-01,3.076365399999999906e-05
7.976091800000000287e-01,3.197606200000000312e-05
7.976730899999999735e-01,3.323358400000000270e-05
7.977370000000000294e-01,3.453778900000000320e-05
7.978009099999999743e-01,3.589029700000000275e-05
7.978648099999999799e-01,3.729277899999999899e-05
7.979287200000000357e-01,3.874695900000000139e-05
7.979926299999999806e-01,4.025461399999999738e-05
7.980565299999999862e-01,4.181758099999999891e-05
7.981204400000000421e-01,4.343775200000000146e-05
7.981843499999999869e-01,4.511708000000000070e-05
7.982482499999999925e-01,4.685757700000000052e-05
7.983121600000000484e-01,4.866131899999999975e-05
7.983760699999999932e-01,5.053044900000000061e-05
7.984399800000000491e-01,5.246717200000000148e-05
7.985038800000000547e-01,5.447376499999999767e-05
7.985677899999999996e-01,5.655257299999999737e-05
7.986317000000000554e-01,5.870601400000000167e-05
7.986955999999999500e-01,6.093657800000000182e-05
7.987595100000000059e-01,6.324683499999999463e-05
7.988234199999999507e-01,6.563942900000000651e-05
7.988873199999999564e-01,6.811708700000000324e-05
7.989512300000000122e-01,7.068261600000000366e-05
7.990151399999999571e-01,7.333890899999999467e-05
7.990790500000000129e-01,7.608894700000000454e-05
7.991429500000000186e-01,7.893579700000000253e-05
7.992068599999999634e-01,8.188262000000000242e-05
7.992707700000000193e-01,8.493266900000000274e-05
7.993346700000000249e-01,8.808929500000000344e-05
7.993985799999999697e-01,9.135594700000000592e-05
7.994624900000000256e-01,9.473617500000000103e-05
7.995263900000000312e-01,9.823363399999999373e-05
7.995902999999999761e-01,1.018520800000000055e-04
7.996542100000000319e-01,1.055953999999999953e-04
7.997181199999999768e-01,1.094675499999999985e-04
7.997820199999999824e-01,1.134726500000000053e-04
7.998459300000000383e-01,1.176149099999999984e-04
7.999098399999999831e-01,1.218986599999999961e-04
7.999737399999999887e-01,1.263283600000000124e-04
8.000376500000000446e-01,1.309086100000000029e-04
8.001015599999999894e-01,1.356441200000000128e-04
8.001654599999999951e-01,1.405397300000000009e-04
8.002293700000000509e-01,1.456004399999999920e-04
8.002932799999999958e-01,1.508313800000000060e-04
8.003571800000000014e-01,1.562378100000000043e-04
8.004210899999999462e-01,1.618251499999999866e-04
8.004850000000000021e-01,1.675989700000000038e-04
8.005489099999999469e-01,1.735649899999999952e-04
8.006128099999999526e-01,1.797290899999999926e-04
8.006767200000000084e-01,1.860973100000000121e-04
8.007406299999999533e-01,1.926758599999999866e-04
8.008045299999999589e-01,1.994711000000000086e-04
8.008684400000000148e-01,2.064896000000000093e-04
8.009323499999999596e-01,2.137380599999999964e-04
8.009962499999999652e-01,2.212233999999999934e-04
8.010601600000000211e-01,2.289527099999999948e-04
8.011240699999999659e-01,2.369332600000000077e-04
8.011879800000000218e-01,2.451725299999999862e-04
8.012518800000000274e-01,2.536781900000000195e-04
8.013157899999999723e-01,2.624581100000000214e-04
8.013797000000000281e-01,2.715203799999999748e-04
8.014436000000000337e-01,2.808732800000000255e-04
8.015075099999999786e-01,2.905253300000000104e-04
8.015714200000000345e-01,3.004852499999999976e-04
8.016353200000000401e-01,3.107620000000000174e-04
8.016992299999999849e-01,3.213647599999999802e-04
8.017631400000000408e-01,3.323029599999999901e-04
8.018270499999999856e-01,3.435862599999999910e-04
8.018909499999999912e-01,3.552245599999999978e-04
8.019548600000000471e-01,3.672280200000000165e-04
8.020187699999999920e-01,3.796070700000000043e-04
8.020826699999999976e-01,3.923723600000000151e-04
8.021465800000000534e-01,4.055348600000000165e-04
8.022104899999999983e-01,4.191057799999999933e-04
8.022743900000000039e-01,4.330965999999999896e-04
8.023382999999999488e-01,4.475191200000000176e-04
8.024022100000000046e-01,4.623853900000000124e-04
8.024661100000000102e-01,4.777077799999999855e-04
8.025300199999999551e-01,4.934989499999999822e-04
8.025939300000000109e-01,5.097718900000000304e-04
8.026578399999999558e-01,5.265398599999999464e-04
8.027217399999999614e-01,5.438164900000000196e-04
8.027856500000000173e-01,5.616156899999999626e-04
8.028495599999999621e-01,5.799517300000000012e-04
8.029134599999999677e-01,5.988392199999999785e-04
8.029773700000000236e-01,6.182931000000000451e-04
8.030412799999999685e-01,6.383286600000000373e-04
8.031051799999999741e-01,6.589615700000000078e-04
8.031690900000000299e-01,6.802078399999999516e-04
8.032329999999999748e-01,7.020838599999999720e-04
8.032969100000000306e-01,7.246064100000000228e-04
8.033608100000000363e-01,7.477926300000000293e-04
8.034247199999999811e-01,7.716600900000000415e-04
8.034886300000000370e-01,7.962267100000000120e-04
8.035525300000000426e-01,8.215108600000000467e-04
8.036164399999999874e-01,8.475312999999999944e-04
8.036803500000000433e-01,8.743072300000000055e-04
8.037442500000000489e-01,9.018582399999999734e-04
8.038081599999999938e-01,9.302043899999999730e-04
8.038720700000000496e-01,9.593661900000000162e-04
8.039359799999999945e-01,9.893645600000001029e-04
8.039998800000000001e-01,1.020220899999999941e-03
8.040637899999999449e-01,1.051957100000000100e-03
8.041277000000000008e-01,1.084595500000000001e-03
8.041916000000000064e-01,1.118158900000000046e-03
8.042555099999999513e-01,1.152670599999999941e-03
8.043194200000000071e-01,1.188154399999999996e-03
8.043833200000000128e-01,1.224634700000000074e-03
8.044472299999999576e-01,1.262136199999999925e-03
8.045111400000000135e-01,1.300684400000000004e-03
8.045750499999999583e-01,1.340304999999999969e-03
8.046389499999999639e-01,1.381024499999999964e-03
8.047028600000000198e-01,1.422869800000000056e-03
8.047667699999999646e-01,1.465868499999999899e-03
8.048306699999999703e-01,1.510048599999999934e-03
8.048945800000000261e-01,1.555438799999999972e-03
8.049584899999999710e-01,1.602068199999999963e-03
8.050223899999999766e-01,1.649966699999999911e-03
8.050863000000000325e-01,1.699164599999999957e-03
8.051502099999999773e-01,1.749693099999999899e-03
8.052141099999999829e-01,1.801583600000000035e-03
8.052780200000000388e-01,1.854868400000000105e-03
8.053419299999999836e-01,1.909580400000000051e-03
8.054058400000000395e-01,1.965753000000000205e-03
8.054697400000000451e-01,2.023420499999999903e-03
8.055336499999999900e-01,2.082617599999999920e-03
8.055975600000000458e-01,2.143379700000000183e-03
8.056614600000000515e-01,2.205742899999999992e-03
8.057253699999999963e-01,2.269744199999999823e-03
8.057892800000000522e-01,2.335420999999999851e-03
8.058531799999999468e-01,2.402811400000000059e-03
8.059170900000000026e-01,2.471954299999999834e-03
8.059809999999999475e-01,2.542889400000000136e-03
8.060449100000000033e-01,2.615656999999999965e-03
8.061088100000000090e-01,2.690298199999999890e-03
8.061727199999999538e-01,2.766854599999999786e-03
8.062366300000000097e-01,2.845368999999999936e-03
8.063005300000000153e-01,2.925884399999999826e-03
8.063644399999999601e-01,3.008445099999999817e-03
8.064283500000000160e-01,3.093095900000000006e-03
8.064922500000000216e-01,3.179882199999999829e-03
8.065561599999999665e-01,3.268850599999999999e-03
8.066200700000000223e-01,3.360048200000000096e-03
8.066839799999999672e-01,3.453523000000000009e-03
8.067478799999999728e-01,3.549323699999999866e-03
8.068117900000000287e-01,3.647500100000000169e-03
8.068756999999999735e-01,3.748102499999999854e-03
8.069395999999999791e-01,3.851182199999999937e-03
8.070035100000000350e-01,3.956791299999999970e-03
8.070674199999999798e-01,4.064982800000000243e-03
8.071313199999999854e-01,4.175810500000000022e-03
8.071952300000000413e-01,4.289328999999999711e-03
8.072591399999999862e-01,4.405593900000000056e-03
8.073230399999999918e-01,4.524661699999999939e-03
8.073869500000000476e-01,4.646589599999999785e-03
8.074508599999999925e-01,4.771435800000000359e-03
8.075147700000000484e-01,4.899259399999999695e-03
8.075786700000000540e-01,5.030120299999999572e-03
8.076425799999999988e-01,5.164079599999999576e-03
8.077064900000000547e-01,5.301199000000000362e-03
8.077703899999999493e-01,5.441541200000000328e-03
8.078343000000000051e-01,5.585169800000000344e-03
8.078982099999999500e-01,5.732149599999999956e-03
8.079621099999999556e-01,5.882545900000000182e-03
8.080260200000000115e-01,6.036425300000000313e-03
8.080899299999999563e-01,6.193855100000000315e-03
8.081538400000000122e-01,6.354903700000000093e-03
8.082177400000000178e-01,6.519640499999999894e-03
8.082816499999999627e-01,6.688135700000000239e-03
8.083455600000000185e-01,6.860460500000000253e-03
8.084094600000000241e-01,7.036687100000000271e-03
8.084733699999999690e-01,7.216888799999999701e-03
8.085372800000000248e-01,7.401139699999999960e-03
8.086011800000000305e-01,7.589514799999999735e-03
8.086650899999999753e-01,7.782090299999999856e-03
8.087290000000000312e-01,7.978943299999999295e-03
8.087929099999999760e-01,8.180151800000000362e-03
8.088568099999999816e-01,8.385794999999999708e-03
8.089207200000000375e-01,8.595952699999999391e-03
8.089846299999999824e-01,8.810706200000000682e-03
8.090485299999999880e-01,9.030137299999999381e-03
8.091124400000000438e-01,9.254329199999999575e-03
8.091763499999999887e-01,9.483365699999999482e-03
8.092402499999999943e-01,9.717332000000000400e-03
8.093041600000000502e-01,9.956313899999999495e-03
8.093680699999999950e-01,1.020039799999999941e-02
8.094319800000000509e-01,1.044967400000000081e-02
8.094958799999999455e-01,1.070422799999999966e-02
8.095597900000000013e-01,1.096415300000000079e-02
8.096236999999999462e-01,1.122953699999999951e-02
8.096875999999999518e-01,1.150047400000000011e-02
8.097515100000000077e-01,1.177705599999999929e-02
8.098154199999999525e-01,1.205937800000000081e-02
8.098793199999999581e-01,1.234753300000000081e-02
8.099432300000000140e-01,1.264161700000000083e-02
8.100071399999999588e-01,1.294172799999999957e-02
8.100710399999999645e-01,1.324796299999999975e-02
8.101349500000000203e-01,1.356042099999999959e-02
8.101988599999999652e-01,1.387920200000000021e-02
8.102627700000000210e-01,1.420440499999999981e-02
8.103266700000000267e-01,1.453613200000000022e-02
8.103905799999999715e-01,1.487448700000000047e-02
8.104544900000000274e-01,1.521957099999999945e-02
8.105183900000000330e-01,1.557149000000000033e-02
8.105822999999999778e-01,1.593034800000000042e-02
8.106462100000000337e-01,1.629625200000000065e-02
8.107101100000000393e-01,1.666930800000000074e-02
8.107740199999999842e-01,1.704962499999999881e-02
8.108379300000000400e-01,1.743731000000000100e-02
8.109018399999999849e-01,1.783247400000000094e-02
8.109657399999999905e-01,1.823522600000000021e-02
8.110296500000000464e-01,1.864567799999999886e-02
8.110935599999999912e-01,1.906394200000000039e-02
8.111574599999999968e-01,1.949013100000000082e-02
8.112213700000000527e-01,1.992435799999999965e-02
8.112852799999999975e-01,2.036673799999999881e-02
8.113491800000000032e-01,2.081738500000000075e-02
8.114130899999999480e-01,2.127641599999999938e-02
8.114770000000000039e-01,2.174394699999999958e-02
8.115409099999999487e-01,2.222009600000000168e-02
8.116048099999999543e-01,2.270497999999999961e-02
8.116687200000000102e-01,2.319871899999999959e-02
8.117326299999999550e-01,2.370143099999999850e-02
8.117965299999999607e-01,2.421323599999999909e-02
8.118604400000000165e-01,2.473425599999999960e-02
8.119243499999999614e-01,2.526461099999999932e-02
8.119882499999999670e-01,2.580442299999999994e-02
8.120521600000000229e-01,2.635381499999999919e-02
8.121160699999999677e-01,2.691291000000000169e-02
8.121799699999999733e-01,2.748182999999999876e-02
8.122438800000000292e-01,2.806070000000000092e-02
8.123077899999999740e-01,2.864964500000000136e-02
8.123717000000000299e-01,2.924878900000000073e-02
8.124356000000000355e-01,2.985825699999999916e-02
8.124995099999999804e-01,3.047817599999999919e-02
8.125634200000000362e-01,3.110867100000000093e-02
8.126273200000000418e-01,3.174986800000000053e-02
8.126912299999999867e-01,3.240189599999999948e-02
8.127551400000000426e-01,3.306487999999999788e-02
8.128190400000000482e-01,3.373894799999999777e-02
8.128829499999999930e-01,3.442422700000000169e-02
8.129468600000000489e-01,3.512084599999999723e-02
8.130107699999999937e-01,3.582893300000000031e-02
8.130746699999999993e-01,3.654861499999999958e-02
8.131385800000000552e-01,3.728002100000000346e-02
8.132024900000000001e-01,3.802327900000000011e-02
8.132663900000000057e-01,3.877851799999999793e-02
8.133302999999999505e-01,3.954586699999999844e-02
8.133942100000000064e-01,4.032545299999999722e-02
8.134581100000000120e-01,4.111740600000000218e-02
8.135220199999999569e-01,4.192185300000000198e-02
8.135859300000000127e-01,4.273892299999999811e-02
8.136498399999999576e-01,4.356874499999999900e-02
8.137137399999999632e-01,4.441144600000000026e-02
8.137776500000000190e-01,4.526715399999999695e-02
8.138415599999999639e-01,4.613599699999999804e-02
8.139054599999999695e-01,4.701810299999999859e-02
8.139693700000000254e-01,4.791359700000000221e-02
8.140332799999999702e-01,4.882260699999999704e-02
8.140971799999999758e-01,4.974525900000000000e-02
8.141610900000000317e-01,5.068167900000000031e-02
8.142249999999999766e-01,5.163199300000000103e-02
8.142888999999999822e-01,5.259632499999999933e-02
8.143528100000000380e-01,5.357479999999999881e-02
8.144167199999999829e-01,5.456754099999999719e-02
8.144806300000000387e-01,5.557467299999999805e-02
8.145445300000000444e-01,5.659631700000000015e-02
8.146084399999999892e-01,5.763259500000000174e-02
8.146723500000000451e-01,5.868362800000000157e-02
8.147362500000000507e-01,5.974953699999999840e-02
8.148001599999999955e-01,6.083044099999999899e-02
8.148640700000000514e-01,6.192646000000000261e-02
8.149279699999999460e-01,6.303770899999999733e-02
8.149918800000000019e-01,6.416430800000000323e-02
8.150557899999999467e-01,6.530637100000000195e-02
8.151197000000000026e-01,6.646401300000000234e-02
8.151836000000000082e-01,6.763734700000000044e-02
8.152475099999999530e-01,6.882648700000000563e-02
8.153114200000000089e-01,7.003154500000000060e-02
8.153753200000000145e-01,7.125262899999999788e-02
8.154392299999999594e-01,7.248984899999999509e-02
8.155031400000000152e-01,7.374331300000000478e-02
8.155670400000000209e-01,7.501312699999999889e-02
8.156309499999999657e-01,7.629939700000000491e-02
8.156948600000000216e-01,7.760222499999999690e-02
8.157587699999999664e-01,7.892171300000000445e-02
8.158226699999999720e-01,8.025796300000000161e-02
8.158865800000000279e-01,8.161107300000000619e-02
8.159504899999999727e-01,8.298114099999999438e-02
8.160143899999999784e-01,8.436826199999999942e-02
8.160783000000000342e-01,8.577253099999999908e-02
8.161422099999999791e-01,8.719403900000000096e-02
8.162061099999999847e-01,8.863287699999999880e-02
8.162700200000000406e-01,9.008913400000000127e-02
8.163339299999999854e-01,9.156289600000000473e-02
8.163978400000000413e-01,9.305424900000000554e-02
8.164617400000000469e-01,9.456327500000000219e-02
8.165256499999999917e-01,9.609005599999999314e-02
8.165895600000000476e-01,9.763466899999999338e-02
8.166534600000000532e-01,9.919719200000000348e-02
8.167173699999999981e-01,1.007776999999999978e-01
8.167812800000000539e-01,1.023762599999999967e-01
8.168451799999999485e-01,1.039929500000000007e-01
8.169090900000000044e-01,1.056278400000000006e-01
8.169729999999999492e-01,1.072809900000000066e-01
8.170368999999999549e-01,1.089524600000000010e-01
8.171008100000000107e-01,1.106423099999999937e-01
8.171647199999999556e-01,1.123506100000000035e-01
8.172286300000000114e-01,1.140773999999999955e-01
8.172925300000000171e-01,1.158227500000000021e-01
8.173564399999999619e-01,1.175867000000000023e-01
8.174203500000000178e-01,1.193692999999999976e-01
8.174842500000000234e-01,1.211706000000000033e-01
8.175481599999999682e-01,1.229906300000000036e-01
8.176120700000000241e-01,1.248294499999999946e-01
8.176759700000000297e-01,1.266870800000000075e-01
8.177398799999999746e-01,1.285635699999999881e-01
8.178037900000000304e-01,1.304589300000000007e-01
8.178676999999999753e-01,1.323732099999999912e-01
8.179315999999999809e-01,1.343064300000000044e-01
8.179955100000000368e-01,1.362586100000000022e-01
8.180594199999999816e-01,1.382297600000000071e-01
8.181233199999999872e-01,1.402199199999999979e-01
8.181872300000000431e-01,1.422290900000000025e-01
8.182511399999999879e-01,1.442572799999999877e-01
8.183150399999999935e-01,1.463045000000000040e-01
8.183789500000000494e-01,1.483707499999999957e-01
8.184428599999999943e-01,1.504560400000000131e-01
8.185067700000000501e-01,1.525603700000000007e-01
8.185706699999999447e-01,1.546837199999999968e-01
8.186345800000000006e-01,1.568260999999999961e-01
8.186984899999999454e-01,1.589874799999999866e-01
8.187623899999999511e-01,1.611678599999999961e-01
8.188263000000000069e-01,1.633672200000000074e-01
