#wavelength,transmission
8.510099599999999542e-01,1.094775600000000063e-10
8.510792499999999539e-01,1.167713499999999920e-10
8.511485399999999535e-01,1.245389300000000064e-10
8.512178299999999531e-01,1.328104600000000116e-10
8.512871199999999527e-01,1.416175899999999897e-10
8.513564099999999524e-01,1.509941000000000018e-10
8.514256999999999520e-01,1.609758899999999889e-10
8.514949899999999516e-01,1.716009599999999926e-10
8.515642799999999513e-01,1.829095599999999964e-10
8.516335699999999509e-01,1.949445999999999939e-10
8.517028599999999505e-01,2.077513899999999945e-10
8.517721499999999502e-01,2.213781300000000084e-10
8.518414399999999498e-01,2.358757799999999847e-10
8.519107299999999494e-01,2.512985599999999967e-10
8.519800199999999490e-01,2.677038500000000030e-10
8.520493099999999487e-01,2.851525900000000012e-10
8.521185999999999483e-01,3.037091999999999814e-10
8.521878899999999479e-01,3.234421499999999841e-10
8.522571799999999476e-01,3.444238500000000234e-10
8.523264699999999472e-01,3.667312199999999900e-10
8.523957599999999468e-01,3.904455500000000094e-10
8.524650499999999465e-01,4.156531499999999772e-10
8.525343399999999461e-01,4.424454500000000047e-10
8.526036299999999457e-01,4.709192099999999583e-10
8.526729199999999453e-01,5.011769100000000078e-10
8.527422099999999450e-01,5.333272100000000389e-10
8.528114999999999446e-01,5.674851100000000043e-10
8.528807900000000553e-01,6.037722699999999528e-10
8.529500700000000046e-01,6.423177399999999732e-10
8.530193600000000043e-01,6.832579000000000296e-10
8.530886500000000039e-01,7.267373499999999978e-10
8.531579400000000035e-01,7.729089099999999748e-10
8.532272300000000032e-01,8.219344700000000331e-10
8.532965200000000028e-01,8.739852700000000205e-10
8.533658100000000024e-01,9.292424999999999579e-10
8.534351000000000020e-01,9.878978899999999795e-10
8.535043900000000017e-01,1.050154300000000066e-09
8.535736800000000013e-01,1.116226200000000010e-09
8.536429700000000009e-01,1.186340500000000015e-09
8.537122600000000006e-01,1.260737200000000071e-09
8.537815500000000002e-01,1.339669999999999986e-09
8.538508399999999998e-01,1.423407299999999914e-09
8.539201299999999994e-01,1.512232500000000030e-09
8.539894199999999991e-01,1.606445700000000046e-09
8.540587099999999987e-01,1.706363599999999999e-09
8.541279999999999983e-01,1.812321300000000004e-09
8.541972899999999980e-01,1.924672700000000171e-09
8.542665799999999976e-01,2.043791899999999811e-09
8.543358699999999972e-01,2.170073900000000140e-09
8.544051599999999969e-01,2.303936399999999894e-09
8.544744499999999965e-01,2.445820200000000206e-09
8.545437399999999961e-01,2.596191099999999840e-09
