#wavelength,transmission
1.189494999999999969e+00,0.000000000000000000e+00
1.189591300000000018e+00,0.000000000000000000e+00
1.189687699999999904e+00,0.000000000000000000e+00
1.189783999999999953e+00,0.000000000000000000e+00
1.189880400000000060e+00,0.000000000000000000e+00
1.189976799999999946e+00,0.000000000000000000e+00
1.190073099999999995e+00,0.000000000000000000e+00
1.190169500000000102e+00,0.000000000000000000e+00
1.190265799999999929e+00,0.000000000000000000e+00
1.190362200000000037e+00,0.000000000000000000e+00
1.190458500000000086e+00,0.000000000000000000e+00
1.190554899999999972e+00,0.000000000000000000e+00
1.190651300000000079e+00,0.000000000000000000e+00
1.190747599999999906e+00,0.000000000000000000e+00
1.190844000000000014e+00,0.000000000000000000e+00
1.190940300000000063e+00,0.000000000000000000e+00
1.191036699999999948e+00,0.000000000000000000e+00
1.191133100000000056e+00,0.000000000000000000e+00
1.191229400000000105e+00,0.000000000000000000e+00
1.191325799999999990e+00,0.000000000000000000e+00
1.191422100000000039e+00,0.000000000000000000e+00
1.191518499999999925e+00,0.000000000000000000e+00
1.191614799999999974e+00,4.307664099999999774e-17
1.191711200000000082e+00,4.307664099999999774e-17
1.191807599999999967e+00,4.307664099999999774e-17
1.191903900000000016e+00,4.307664099999999774e-17
1.192000299999999902e+00,8.615328199999999547e-17
1.192096599999999951e+00,8.615328199999999547e-17
1.192193000000000058e+00,8.615328199999999547e-17
1.192289399999999944e+00,8.615328199999999547e-17
1.192385699999999993e+00,8.615328199999999547e-17
1.192482100000000100e+00,8.615328199999999547e-17
1.192578399999999927e+00,8.615328199999999547e-17
1.192674800000000035e+00,1.292299199999999962e-16
1.192771100000000084e+00,1.723065600000000114e-16
1.192867499999999970e+00,1.723065600000000114e-16
1.192963900000000077e+00,1.723065600000000114e-16
1.193060199999999904e+00,1.723065600000000114e-16
1.193156600000000012e+00,2.584598399999999924e-16
1.193252900000000061e+00,2.584598399999999924e-16
1.193349299999999946e+00,2.584598399999999924e-16
1.193445700000000054e+00,3.446131300000000210e-16
1.193542000000000103e+00,3.446131300000000210e-16
1.193638399999999988e+00,4.307664100000000020e-16
1.193734700000000037e+00,4.307664100000000020e-16
1.193831099999999923e+00,5.169196899999999831e-16
1.193927399999999972e+00,5.599963299999999982e-16
1.194023800000000080e+00,6.030729700000000134e-16
1.194120199999999965e+00,6.892262500000000438e-16
1.194216500000000014e+00,7.753795299999999755e-16
